blocklevel;cycle;balance;full_balance;current_frozen_deposits;frozen_deposits;staking_balance;delegated_balance;attestation_power;unstaked_frozen_deposits;balance_updates
10112;78;14626495214;71807216856;57180721642;57149368451;571807216420;499999999564;447;[ { "cycle": 73, "deposit": "0" }, { "cycle": 74, "deposit": "0" }, { "cycle": 75, "deposit": "0" }, { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3841155", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34570395", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-1776", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "1776", "origin": "block" }
10113;79;14626495214;71807216856;57180721642;57154611617;571807216420;499999999564;477;[ { "cycle": 74, "deposit": "0" }, { "cycle": 75, "deposit": "0" }, { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" } ];
10239;79;14664310334;71849231682;57184921348;57154611617;571849231246;499999999564;461;[ { "cycle": 74, "deposit": "0" }, { "cycle": 75, "deposit": "0" }, { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" } ];
10240;79;14698878952;71887643232;57188764280;57154611617;571887642796;499999999564;449;[ { "cycle": 74, "deposit": "0" }, { "cycle": 75, "deposit": "0" }, { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3841155", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34570395", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-1777", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "1777", "origin": "block" }
10241;80;14698878952;71887643232;57188764280;57162194062;571887642796;499999999564;467;[ { "cycle": 75, "deposit": "0" }, { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" } ];
10367;80;14715685672;71906316488;57190630816;57162194062;571906316052;499999999564;421;[ { "cycle": 75, "deposit": "0" }, { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" } ];
10368;80;14750254079;71944726706;57194472627;57162194062;571944726270;499999999564;498;[ { "cycle": 75, "deposit": "0" }, { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3841022", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34569196", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-789", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "789", "origin": "block" }
10369;81;14750254079;71944726706;57194472627;57167902602;571944726270;499999999564;470;[ { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" } ];
10495;81;14796479120;71996085451;57199606331;57167902602;571996085015;499999999564;444;[ { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" } ];
10496;81;14831046145;72034495669;57203449524;57167902602;572034495233;499999999564;456;[ { "cycle": 76, "deposit": "0" }, { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3841022", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34569196", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-2171", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "2171", "origin": "block" }
